state,date,population,metodology,count,rate
MÉXICO,1997-01,12039075,vieja,267,26.61334031
MICHOACÁN,1997-01,4147638,vieja,61,17.64859903
MORELOS,1997-01,1543841,vieja,23,17.87748868
NAYARIT,1997-01,915155,vieja,5,6.556266425
DURANGO,1997-01,1468739,vieja,3,2.451082187
GUANAJUATO,1997-01,5015922,vieja,29,6.937906929
GUERRERO,1997-01,3180818,vieja,91,34.33079164
HIDALGO,1997-01,2336392,vieja,37,19.00366034
JALISCO,1997-01,6310140,vieja,40,7.606804286
COLIMA,1997-01,529041,vieja,7,15.87778641
CHIAPAS,1997-01,3870817,vieja,112,34.72135211
CHIHUAHUA,1997-01,2786814,vieja,87,37.46213418
CIUDAD DE MÉXICO,1997-01,8886958,vieja,70,9.452053222
NUEVO LEÓN,1997-01,3705361,vieja,8,2.590840677
OAXACA,1997-01,3583959,vieja,129,43.1924584
PUEBLA,1997-01,5012050,vieja,66,15.80191738
QUERÉTARO,1997-01,1452499,vieja,0,0
TAMAULIPAS,1997-01,2592530,vieja,37,17.12612776
TLAXCALA,1997-01,945605,vieja,1,1.269028823
VERACRUZ,1997-01,7106638,vieja,48,8.10509836
YUCATÁN,1997-01,1630767,vieja,0,0
QUINTANA ROO,1997-01,809723,vieja,22,32.60374227
SAN LUIS POTOSÍ,1997-01,2346085,vieja,17,8.695337125
SINALOA,1997-01,2438376,vieja,61,30.01998051
SONORA,1997-01,2142446,vieja,34,19.04365384
TABASCO,1997-01,1868881,vieja,19,12.19981369
AGUASCALIENTES,1997-01,949970,vieja,58,73.26547154
BAJA CALIFORNIA,1997-01,2272200,vieja,33,17.42804331
BAJA CALIFORNIA SUR,1997-01,421204,vieja,2,5.697951586
CAMPECHE,1997-01,653334,vieja,12,22.04079384
COAHUILA,1997-01,2259917,vieja,15,7.964894286
ZACATECAS,1997-01,1428402,vieja,16,13.44159417
JALISCO,1997-02,6315771,vieja,42,7.980023342
MÉXICO,1997-02,12062231,vieja,265,26.36328222
MICHOACÁN,1997-02,4148622,vieja,60,17.35516034
