date,metodology,count,population,rate
1997-01,vieja,1410,96651297,17.50623171
1997-02,vieja,1406,96761957,17.43660476
1997-03,vieja,1551,96872618,19.21285951
1997-04,vieja,1371,96983281,16.96374863
1997-05,vieja,1432,97093941,17.69832373
1997-06,vieja,1400,97204604,17.28313198
1997-07,vieja,1274,97311340,15.71039922
1997-08,vieja,1325,97418076,16.32140631
1997-09,vieja,1329,97524808,16.35276226
1997-10,vieja,1364,97631545,16.76507321
1997-11,vieja,1473,97738281,18.08503262
1997-12,vieja,1531,97845009,18.77663479
1998-01,vieja,1314,97951747,16.09772208
1998-02,vieja,1189,98058483,14.55050044
1998-03,vieja,1447,98165220,17.6885459
1998-04,vieja,1379,98271956,16.83898507
1998-05,vieja,1423,98378688,17.3574179
1998-06,vieja,1323,98485424,16.12015195
1998-07,vieja,1215,98587146,14.78894622
1998-08,vieja,1116,98688865,13.56991997
1998-09,vieja,1149,98790584,13.95679572
1998-10,vieja,938,98892306,11.3820786
1998-11,vieja,837,98994026,10.14606679
1998-12,vieja,886,99095746,10.72901757
1999-01,vieja,1203,99197465,14.55279124
1999-02,vieja,1209,99299185,14.61039182
1999-03,vieja,1268,99400907,15.3077074
1999-04,vieja,1152,99502626,13.89310067
1999-05,vieja,1271,99604345,15.31258501
1999-06,vieja,1146,99706067,13.79254083
1999-07,vieja,1192,99805212,14.33191685
1999-08,vieja,1262,99904357,15.15849804
1999-09,vieja,1212,100003501,14.54349083
1999-10,vieja,1254,100102650,15.03256907
1999-11,vieja,1159,100201794,13.87999101
1999-12,vieja,1291,100300940,15.44551826
2000-01,vieja,1249,100400084,14.92827436
2000-02,vieja,1226,100499228,14.63891842
2000-03,vieja,1175,100598377,14.0161307
2000-04,vieja,1123,100697521,13.38265318
2000-05,vieja,1123,100796666,13.36948982
2000-06,vieja,1011,100895811,12.02428513
2000-07,vieja,1154,100998018,13.71116015
2000-08,vieja,1096,101100224,13.00887325
2000-09,vieja,1232,101202435,14.60834416
2000-10,vieja,1110,101304638,13.14846019
2000-11,vieja,1141,101406845,13.50204713
2000-12,vieja,1209,101509055,14.29232102
2001-01,vieja,1200,101611261,14.17165761
2001-02,vieja,1115,101713468,13.15460014
2001-03,vieja,1217,101815671,14.343568
2001-04,vieja,1210,101917879,14.2467643
2001-05,vieja,1233,102020088,14.50302611
2001-06,vieja,1202,102122295,14.12424192
2001-07,vieja,1248,102230269,14.64928161
2001-08,vieja,1130,102338236,13.25017953
2001-09,vieja,1028,102446207,12.04144142
2001-10,vieja,1094,102554178,12.80103869
2001-11,vieja,1031,102662150,12.05117952
2001-12,vieja,1147,102770118,13.39299815
2002-01,vieja,1156,102878089,13.48392076
2002-02,vieja,1076,102986061,12.53761905
2002-03,vieja,1123,103094032,13.0715617
2002-04,vieja,1147,103202004,13.33695032
2002-05,vieja,1162,103309970,13.49724523
2002-06,vieja,1058,103417944,12.27639954
2002-07,vieja,1104,103526441,12.79673084
2002-08,vieja,1130,103634935,13.0843909
2002-09,vieja,1029,103743431,11.90244036
2002-10,vieja,1011,103851924,11.68201756
2002-11,vieja,1058,103960421,12.21233993
2002-12,vieja,1094,104068916,12.61471773
2003-01,vieja,1084,104177414,12.48639172
2003-02,vieja,1032,104285911,11.87504609
2003-03,vieja,1127,104394404,12.95471738
2003-04,vieja,1066,104502899,12.24080875
2003-05,vieja,1114,104611394,12.77872275
2003-06,vieja,1016,104719891,11.64248729
2003-07,vieja,1057,104822530,12.10045207
2003-08,vieja,1038,104925172,11.87131721
2003-09,vieja,1050,105027811,11.99682244
2003-10,vieja,1036,105130452,11.82530824
2003-11,vieja,1046,105233090,11.92780712
2003-12,vieja,1010,105335729,11.50606742
2004-01,vieja,938,105438370,10.67543059
2004-02,vieja,939,105541008,10.67641878
2004-03,vieja,1052,105643649,11.94960617
2004-04,vieja,1002,105746289,11.37061179
2004-05,vieja,1013,105848930,11.48429181
2004-06,vieja,1039,105951569,11.76764074
2004-07,vieja,892,106051520,10.09320753
2004-08,vieja,922,106151476,10.42284141
2004-09,vieja,878,106251429,9.916101928
2004-10,vieja,1002,106351384,11.30591775
2004-11,vieja,984,106451337,11.09239239
2004-12,vieja,997,106551294,11.22839484
2005-01,vieja,952,106651243,10.71154886
2005-02,vieja,921,106751196,10.3530456
2005-03,vieja,955,106851151,10.72520033
2005-04,vieja,1023,106951104,11.47814239
2005-05,vieja,990,107051060,11.09750805
2005-06,vieja,1026,107151011,11.49032556
2005-07,vieja,928,107255829,10.38265249
2005-08,vieja,839,107360645,9.377737997
2005-09,vieja,890,107465468,9.938076108
2005-10,vieja,900,107570283,10.03994756
2005-11,vieja,890,107675105,9.918727268
2005-12,vieja,932,107779917,10.37670126
